1	100	 0.00
2	100	 0.00
4	100	 0.00
8	100	 0.00
16	100	 0.00
32	100	 0.00
1	1000	 0.00
2	1000	 0.00
4	1000	 0.00
8	1000	 0.00
16	1000	 0.00
32	1000	 0.00
1	10000	 0.00
2	10000	 0.00
4	10000	 0.00
8	10000	 0.00
16	10000	 0.00
32	10000	 0.00
1	100000	 0.00
2	100000	 0.00
4	100000	 0.00
8	100000	 0.00
16	100000	 0.00
32	100000	 0.00
1	1000000	 0.00
2	1000000	 0.00
4	1000000	 0.01
8	1000000	 0.01
16	1000000	 0.00
32	1000000	 0.00
1	10000000	 0.08
2	10000000	 0.07
4	10000000	 0.07
8	10000000	 0.07
16	10000000	 0.07
32	10000000	 0.07
1	100000000	 0.78
2	100000000	 0.78
4	100000000	 0.79
8	100000000	 0.78
16	100000000	 0.78
32	100000000	 0.78
